gene_id	seqnames	start	end	width	strand	symbol	ensembl_id
10007	chr5	141380234	141392620	12387	-	GNPDA1	ENSG00000113552
100073347	chr19	57352270	57359922	7653	+	MIMT1	ENSG00000268654
10008	chr11	74165886	74178600	12715	-	KCNE3	ENSG00000175538
10009	chrX	119384607	119392251	7645	+	ZBTB33	ENSG00000177485
100093630	chr4	119199917	119200978	1062	+	SNHG8	ENSG00000269893
100093698	chrX	13328771	13338052	9282	+	GS1-600G8.3	ENSG00000231216
1001	chr16	68678151	68732957	54807	+	CDH3	ENSG00000062038
10010	chr2	161993466	162092683	99218	+	TANK	ENSG00000136560
100101266	chr19	24344995	24346249	1255	-	HAVCR1P1	ENSG00000268442
100101267	chr7	75046065	75115568	69504	-	POM121C	ENSG00000272391
100101467	chr18	32831023	32870196	39174	-	ZSCAN30	ENSG00000186814
100101490	chr20	30135185	30136019	835	+	MCTS2	ENSG00000101898
100101629	chrX	49188094	49313710	125617	+	GAGE8	ENSG00000189064
100101938	chr13	19836940	19919113	82174	-	ANKRD26P3	ENSG00000237636
10011	chr5	139929652	139937678	8027	-	SRA1	ENSG00000213523
100113379	chr9	33952762	33952852	91	-	SNORD121A	ENSG00000238886
100113381	chr3	52724754	52724846	93	+	SNORD19B	ENSG00000238862
100113382	chr19	10220425	10220516	92	+	SNORD105B	ENSG00000238531
100113386	chr20	62584737	62588338	3602	+	UCKL1-AS1	ENSG00000280213
100113389	chr14	45580078	45580176	99	+	SNORD127	ENSG00000239043
100113392	chr2	203156040	203156151	112	+	SNORD11B	ENSG00000271852
100113393	chr20	47896850	47896952	103	+	SNORD12B	ENSG00000222365
100113403	chr6	105384169	105388402	4234	-	LIN28B-AS1	ENSG00000203809
100113404	chr9	13927970	13945606	17637	+	LINC00583	ENSG00000205636
100113407	chr6	11538460	11583757	45298	+	TMEM170B	ENSG00000205269
100124412	chr15	102495088	102496558	1471	+	FAM138E	ENSG00000248893
100124412	chr15	102495088	102496558	1471	+	FAM138E	ENSG00000288464
100124534	chr9	95054740	95054875	136	-	SNORA84	ENSG00000291346
100124534	chr9	95054740	95054875	136	-	SNORA84	ENSG00000239183
100124535	chr2	69747177	69747303	127	-	SNORA36C	ENSG00000207016
100124536	chr17	65736786	65736917	132	+	SNORA38B	ENSG00000200394
100124537	chr2	61644379	61644512	134	-	SNORA70B	ENSG00000206937
100124538	chr9	119943345	119943480	136	-	SNORA70C	ENSG00000207268
100124539	chr14	91592770	91592896	127	+	SNORA11B	ENSG00000221102
100124540	chrX	47248049	47248175	127	+	SNORA11C	ENSG00000221459
100124700	chr12	54356092	54368740	12649	-	HOTAIR	ENSG00000228630
100125288	chr19	10415479	10420233	4755	-	ZGLP1	ENSG00000220201
100125556	chr3	125635444	125648867	13424	+	FAM86JP	ENSG00000291071
100126270	chrX	146990949	147003676	12728	-	FMR1-AS1	ENSG00000268066
100126296	chr20	57393281	57393368	88	-	MIR298	ENSG00000216031
100126297	chr14	101507700	101507781	82	+	MIR300	ENSG00000215957
100126299	chr5	135416187	135416286	100	-	VTRNA2-1	ENSG00000278815
100126302	chrX	133674215	133674292	78	-	MIR450B	ENSG00000216001
100126303	chrX	145075793	145075869	77	-	MIR890	ENSG00000216075
100126304	chrX	145082571	145082649	79	-	MIR891B	ENSG00000216064
100126306	chrX	145076302	145076378	77	-	MIR888	ENSG00000216005
100126307	chrX	145078716	145078792	77	-	MIR892B	ENSG00000216098
100126308	chr14	101530832	101530915	84	+	MIR541	ENSG00000216179
100126309	chr8	100549014	100549089	76	-	MIR875	ENSG00000216069
100126310	chr9	28863624	28863704	81	-	MIR876	ENSG00000215966
100126311	chr15	45725248	45725327	80	+	MIR147B	ENSG00000284386
100126313	chr17	11985216	11985313	98	+	MIR744	ENSG00000266297
100126315	chr14	101341370	101341441	72	+	MIR665	ENSG00000283159
100126316	chr9	28888877	28888953	77	-	MIR873	ENSG00000215939
100126317	chrX	73438382	73438453	72	-	MIR374B	ENSG00000212027
100126318	chr22	22007270	22007347	78	+	MIR301B	ENSG00000212102
100126319	chr2	56227849	56227930	82	-	MIR216B	ENSG00000211520
100126320	chr12	24365355	24365429	75	+	MIR920	ENSG00000216192
100126321	chr3	197401367	197401447	81	-	MIR922	ENSG00000284146
100126324	chrX	135633037	135633119	83	+	MIR934	ENSG00000216060
100126325	chr19	54485561	54485651	91	+	MIR935	ENSG00000284583
100126326	chr10	105807847	105807944	98	-	MIR936	ENSG00000283788
100126327	chr10	29891193	29891275	83	-	MIR938	ENSG00000216035
100126328	chr16	2321748	2321841	94	+	MIR940	ENSG00000284346
100126329	chr20	62550778	62551006	229	+	MIR941-1	ENSG00000283206
100126331	chr1	117637265	117637350	86	+	MIR942	ENSG00000215930
100126332	chr4	1988111	1988204	94	-	MIR943	ENSG00000284587
100126333	chr11	79113066	79113153	88	-	MIR708	ENSG00000211997
100126334	chr3	10436173	10436246	74	-	MIR885	ENSG00000216135
100126335	chr14	101498324	101498401	78	+	MIR543	ENSG00000212040
100126336	chr14	23887196	23887272	77	-	MIR208B	ENSG00000215991
100126338	chr8	144895127	144895212	86	-	MIR937	ENSG00000284224
100126340	chr3	189547711	189547798	88	+	MIR944	ENSG00000216058
100126341	chrX	145109312	145109390	79	-	MIR891A	ENSG00000216056
100126342	chrX	145078187	145078261	75	-	MIR892A	ENSG00000215943
100126343	chr5	136983261	136983338	78	-	MIR874	ENSG00000216009
100126345	chr14	101514238	101514316	79	+	MIR889	ENSG00000216099
100126346	chr1	154166141	154166219	79	-	MIR190B	ENSG00000215938
100126348	chr1	94312388	94312467	80	+	MIR760	ENSG00000211575
100126349	chr1	166123980	166124035	56	-	MIR921	ENSG00000215952
100126350	chr2	176032361	176032437	77	-	MIR933	ENSG00000215973
100126351	chr8	145619364	145619445	82	-	MIR939	ENSG00000284918
100126351	chr8	145619364	145619445	82	-	MIR939	ENSG00000284310
100126352	chr20	62551085	62551313	229	+	MIR941-3	ENSG00000283513
100126355	chr16	14403142	14403228	87	+	MIR365A	ENSG00000199130
100126356	chr17	29902430	29902540	111	+	MIR365B	ENSG00000283978
100126791	chr3	4790878	4793274	2397	-	EGOT	ENSG00000235947
100126793	chr3	10320905	10335133	14229	+	GHRLOS	ENSG00000240288
100127206	chr5	129083884	129100756	16873	+	MINAR2	ENSG00000186367
100127888	chr20	61294379	61297973	3595	-	SLCO4A1-AS1	ENSG00000232803
100127983	chr8	91970706	91997485	26780	-	C8orf88	ENSG00000253250
100128025	chr3	149375997	149379149	3153	+	WWTR1-AS1	ENSG00000241313
100128054	chr10	96039047	96046827	7781	-	PLCE1-AS1	ENSG00000268894
100128071	chr1	32826871	32827844	974	-	FAM229A	ENSG00000225828
100128098	chr10	17428935	17452630	23696	+	ST8SIA6-AS1	ENSG00000204832
100128126	chr8	74332309	74353753	21445	+	STAU2-AS1	ENSG00000253302
100128164	chr3	169661772	169684522	22751	-	FHL1P1	ENSG00000239219
100128191	chr12	98906751	98910004	3254	-	TMPO-AS1	ENSG00000257167
100128239	chr11	133902167	133911236	9070	+	LINC02731	ENSG00000204241
100128252	chr19	56989243	57006805	17563	+	ZNF667-AS1	ENSG00000166770
100128264	chr7	154858779	154863267	4489	-	HTR5A-AS1	ENSG00000220575
100128327	chr6	116817651	116866773	49123	-	TRAPPC3L	ENSG00000173626
100128385	chr9	115867003	115873957	6955	-	FAM225B	ENSG00000225684
100128398	chr19	58514262	58518574	4313	+	ZNF606-AS1	ENSG00000176593
100128420	chrX	135721702	135724588	2887	+	LINC00892	ENSG00000233093
100128505	chr9	119266562	119324572	58011	+	ASTN2-AS1	ENSG00000229105
100128511	chr10	21462919	21463852	934	+	NEBL-AS1	ENSG00000231920
100128531	chr22	25498384	25508659	10276	-	KIAA1671-AS1	ENSG00000203280
100128554	chr12	126927027	126957331	30305	+	LINC02347	ENSG00000214043
100128568	chr19	5978414	6020374	41961	+	RANBP3-DT	ENSG00000266983
100128569	chr19	3539155	3544028	4874	+	TEKTIP1	ENSG00000183397
100128590	chr2	40144774	40482349	337576	+	SLC8A1-AS1	ENSG00000227028
100128640	chr3	38492518	38496311	3794	-	ACVR2B-AS1	ENSG00000229589
100128675	chr19	35549963	35597208	47246	-	HPN-AS1	ENSG00000227392
100128682	chr19	35896509	35907742	11234	+	LINC01531	ENSG00000205786
100128714	chr15	26147507	26298267	150761	+	LINC02346	ENSG00000206187
100128731	chr2	27293342	27294567	1226	-	OST4	ENSG00000228474
100128750	chr8	30239635	30242917	3283	-	RBPMS-AS1	ENSG00000254109
100128770	chr16	3082482	3089133	6652	+	LOC100128770	ENSG00000205890
100128782	chr9	98568370	98638259	69890	-	ERCC6L2-AS1	ENSG00000175611
100128788	chr16	2787077	2802601	15525	-	SRRM2-AS1	ENSG00000205913
100128811	chr10	25447001	25465205	18205	-	GPR158-AS1	ENSG00000233642
100128822	chr7	152161209	152162630	1422	+	LINC01003	ENSG00000261455
100128881	chr16	89778264	89784573	6310	+	VPS9D1-AS1	ENSG00000261373
100128890	chr8	7143733	7212876	69144	-	FAM66B	ENSG00000215374
100128893	chr18	19746859	19748929	2071	-	GATA6-AS1	ENSG00000266010
100128927	chr14	105266933	105271048	4116	+	ZBTB42	ENSG00000179627
100128946	chr22	49262582	49294198	31617	+	LINC01310	ENSG00000205632
100129066	chr9	92254698	92334674	79977	+	LINC03062	ENSG00000237372
100129075	chr14	56024690	56046810	22121	-	KTN1-AS1	ENSG00000186615
100129128	chr6	73933268	73935175	1908	-	KHDC1L	ENSG00000256980
100129138	chr1	104615645	104619693	4049	+	LOC100129138	ENSG00000215869
100129175	chr2	219866937	219880444	13508	+	LOC100129175	ENSG00000224090
100129195	chr6	28058454	28105094	46641	-	ZSCAN16-AS1	ENSG00000269293
100129196	chr1	31191619	31199593	7975	+	MATN1-AS1	ENSG00000186056
100129213	chr10	18290715	18299491	8777	-	SLC39A12-AS1	ENSG00000226083
100129216	chr11	71589499	71595607	6109	+	DEFB131B	ENSG00000225805
100129239	chrX	145895622	145896249	628	-	CXorf51A	ENSG00000224440
100129250	chr9	32551142	32566858	15717	+	SMIM27	ENSG00000235453
100129271	chr1	152691998	152692905	908	+	KPLCE	ENSG00000198854
100129345	chr14	98098984	98152995	54012	-	LINC02291	ENSG00000197176
100129361	chr12	11323780	11328619	4840	+	SMIM10L1	ENSG00000256537
100129361	chr12	11323780	11328619	4840	+	SMIM10L1	ENSG00000262986
100129361	chr12	11323780	11328619	4840	+	SMIM10L1	ENSG00000281930
100129385	chr9	16203933	16276311	72379	-	LINC03041	ENSG00000205549
100129396	chr17	16692057	16693815	1759	+	FAM106C	ENSG00000288235
100129427	chr7	50599457	50611161	11705	+	DDC-AS1	ENSG00000226122
100129480	chr3	12581280	12586963	5684	-	MKRN2OS	ENSG00000225526
100129482	chr10	43008961	43048280	39320	-	ZNF37BP	ENSG00000234420
100129515	chrX	134252882	134254405	1524	-	ETDB	ENSG00000224107
100129518	chr6	160181291	160183364	2074	-	SOD2-OT1	ENSG00000285427
100129520	chrX	124453969	124456950	2982	+	TEX13C	ENSG00000282815
100129534	chr1	2281853	2284100	2248	-	LOC100129534	ENSG00000269896
100129543	chr19	23299777	23330017	30241	+	ZNF730	ENSG00000183850
100129550	chr3	122605360	122611263	5904	+	LINC02035	ENSG00000273033
100129583	chr4	77135193	77204936	69744	+	FAM47E	ENSG00000189157
100129597	chr13	49151110	49155037	3928	-	LINC00462	ENSG00000233610
100129620	chr1	99469832	99614408	144577	+	PLPPR5-AS1	ENSG00000232825
100129654	chr8	67858736	67874825	16090	-	TCF24	ENSG00000261787
100129662	chrX	137794269	137798763	4495	+	FGF13-AS1	ENSG00000226031
100129669	chr9	24543213	24545674	2462	-	IZUMO3	ENSG00000205442
100129716	chr5	90676164	90716532	40369	+	ARRDC3-AS1	ENSG00000281357
100129722	chr9	140144671	140147949	3279	-	STPG3-AS1	ENSG00000275549
100129726	chr2	43454350	43455994	1645	+	LINC01126	ENSG00000279873
100129792	chr5	42756920	42802539	45620	+	CCDC152	ENSG00000198865
100129794	chr14	37641231	37642998	1768	+	SLC25A21-AS1	ENSG00000258708
100129827	chr11	10562783	10621479	58697	+	IRAG1-AS1	ENSG00000177112
100129842	chr19	20720798	20748626	27829	-	ZNF737	ENSG00000237440
100129845	chr7	100187024	100201661	14638	-	PCOLCE-AS1	ENSG00000224729
100129858	chr4	141204880	141294546	89667	-	SCOC-AS1	ENSG00000196951
100129917	chr4	773937	775636	1700	-	PCGF3-AS1	ENSG00000249592
100129924	chr1	43253661	43263901	10241	+	TMEM269	ENSG00000274386
100129931	chr4	7032281	7047958	15678	-	LOC100129931	ENSG00000245748
100129935	chr19	40129325	40133041	3717	+	LOC100129935	ENSG00000290598
10013	chrX	48660287	48683380	23094	+	HDAC6	ENSG00000094631
100130015	chr16	90106169	90114191	8023	-	URAHP	ENSG00000290738
100130017	chr4	69048010	69078188	30179	+	FTLP10	ENSG00000250426
100130155	chr8	65285775	65295842	10068	+	MIR124-2HG	ENSG00000254377
100130197	chr1	47139708	47157769	18062	+	EFCAB14-AS1	ENSG00000228237
100130231	chr8	126934767	126963441	28675	-	LINC00861	ENSG00000245164
100130264	chr20	19222946	19265240	42295	-	SLC24A3-AS1	ENSG00000179447
100130274	chr8	144788864	144790279	1416	-	CCDC166	ENSG00000255181
100130274	chr8	144788864	144790279	1416	-	CCDC166	ENSG00000278749
100130301	chr8	74153659	74171737	18079	-	C8orf89	ENSG00000274443
100130302	chrX	24380878	24383541	2664	+	SUPT20HL1	ENSG00000223731
100130311	chr17	4802948	4806227	3280	+	C17orf107	ENSG00000205710
100130331	chr1	238025475	238091619	66145	+	LOC100130331	ENSG00000237250
100130348	chr11	64855844	64856542	699	-	TMEM262	ENSG00000187066
100130357	chr6	13279527	13295818	16292	-	LOC100130357	ENSG00000215022
100130370	chr17	79349699	79359160	9462	-	LINC03048	ENSG00000262223
100130386	chr13	114451484	114454062	2579	-	LINC00552	ENSG00000288305
100130386	chr13	114451484	114454062	2579	-	LINC00552	ENSG00000279770
100130386	chr13	114451484	114454062	2579	-	LINC00552	ENSG00000282664
100130417	chr1	852953	854817	1865	-	LINC02593	ENSG00000223764
100130449	chr2	241388836	241396117	7282	-	GPC1-AS1	ENSG00000218416
100130476	chr6	138144807	138189370	44564	-	WAKMAR2	ENSG00000237499
100130480	chr18	6511415	6590652	79238	+	LINC01387	ENSG00000265944
100130519	chr19	17546318	17559376	13059	-	TMEM221	ENSG00000188051
100130522	chr18	77905807	77936315	30509	+	PARD6G-AS1	ENSG00000267270
100130539	chr10	44788198	44790097	1900	+	LINC02881	ENSG00000277288
100130581	chr17	41447213	41466266	19054	-	LINC00910	ENSG00000188825
100130613	chrX	125953747	125955768	2022	+	PRR32	ENSG00000183631
100130691	chr2	178148242	178257419	109178	-	LOC100130691	ENSG00000213963
100130705	chr7	128506464	128512101	5638	+	SPMIP1	ENSG00000272899
100130717	chr22	17640279	17646335	6057	+	HDHD5-AS1	ENSG00000185837
100130733	chr5	61874562	61877275	2714	+	LRRC70	ENSG00000186105
100130742	chr8	92114847	92231464	116618	+	LRRC69	ENSG00000214954
100130771	chr7	105205580	105221976	16397	-	EFCAB10	ENSG00000185055
100130776	chr12	58120023	58122139	2117	+	AGAP2-AS1	ENSG00000255737
100130827	chr19	56052023	56056909	4887	-	SBK3	ENSG00000231274
100130849	chr7	56943078	56949839	6762	-	LOC100130849	ENSG00000291021
100130855	chr15	63879909	63893026	13118	-	USP3-AS1	ENSG00000259248
100130880	chr7	137638094	137642712	4619	+	CREB3L2-AS1	ENSG00000237243
100130890	chr6	99968870	100033084	64215	+	TSTD3	ENSG00000279170
100130894	chr16	70788963	70807154	18192	+	VAC14-AS1	ENSG00000214353
100130933	chr17	73642646	73644057	1412	+	SMIM6	ENSG00000259120
100130935	chrX	151895978	151903184	7207	-	CSAG4	ENSG00000292198
100130935	chrX	151895978	151903184	7207	-	CSAG4	ENSG00000290868
100130950	chr17	5095379	5138931	43553	+	ZNF594-DT	ENSG00000261879
100130954	chr9	138466771	138478958	12188	+	LINC01502	ENSG00000237339
100130958	chr16	77233349	77246976	13628	+	SYCE1L	ENSG00000205078
100130967	chr6	159309619	159331385	21767	+	LINC02901	ENSG00000203711
100130988	chr7	50135682	50198852	63171	+	SPMIP7	ENSG00000164500
100131067	chr5	80533384	80597388	64005	-	CKMT2-AS1	ENSG00000247572
100131089	chr15	40331512	40359710	28199	+	SRP14-DT	ENSG00000248508
100131094	chr19	4679294	4685960	6667	+	DPP9-AS1	ENSG00000205790
100131117	chr3	114070658	114107825	37168	+	ZBTB20-AS1	ENSG00000241560
100131137	chr19	48471303	48495427	24125	-	BSPH1	ENSG00000188334
100131138	chr12	111374406	111375250	845	+	LINC01405	ENSG00000185847
100131176	chr7	151106322	151110132	3811	+	WDR86-AS1	ENSG00000243836
100131187	chr1	161007422	161008774	1353	-	TSTD1	ENSG00000215845
100131193	chr9	139698379	139703300	4922	-	CCDC183-AS1	ENSG00000228544
100131208	chr20	10004460	10200154	195695	-	SNAP25-AS1	ENSG00000227906
100131211	chr2	191371619	191399468	27850	-	NEMP2	ENSG00000189362
100131213	chr10	77161286	77168740	7455	+	ZNF503-AS2	ENSG00000237149
100131244	chr15	40573645	40574787	1143	-	ANKRD63	ENSG00000230778
100131320	chr2	130724165	130738045	13881	-	RAB6C-AS1	ENSG00000292138
100131320	chr2	130724165	130738045	13881	-	RAB6C-AS1	ENSG00000290615
100131347	chr17	37213272	37264608	51337	+	RDM1P5	ENSG00000263818
100131366	chr14	103653558	103655365	1808	-	LINC00605	ENSG00000251533
100131378	chr11	33719654	33722286	2633	-	C11orf91	ENSG00000205177
100131390	chr2	175199821	175202268	2448	+	SP9	ENSG00000217236
100131434	chrX	148609132	148622504	13373	-	EOLA1-DT	ENSG00000241769
100131439	chr17	72576111	72588370	12260	-	CD300LD	ENSG00000291922
100131439	chr17	72576111	72588370	12260	-	CD300LD	ENSG00000204345
100131454	chr17	655573	658576	3004	+	DBIL5P	ENSG00000231784
100131496	chr20	45947246	45949498	2253	+	LOC100131496	ENSG00000267882
100131551	chr3	194017424	194030593	13170	-	LINC00887	ENSG00000214145
100131635	chr3	187420154	187450203	30050	+	LOC100131635	ENSG00000228804
100131655	chr18	74506688	74534251	27564	-	ZNF236-DT	ENSG00000264278
100131691	chr19	59070553	59086164	15612	+	MZF1-AS1	ENSG00000267858
100131726	chr8	124213412	124214983	1572	-	FAM83A-AS1	ENSG00000204949
100131755	chrX	100740241	100754031	13791	+	ARMCX4	ENSG00000196440
100131801	chr19	7694671	7696510	1840	+	PET100	ENSG00000229833
100131814	chr6	135818939	136037193	218255	+	AHI1-DT	ENSG00000231028
100131816	chrX	84189157	84189896	740	+	UBE2DNL	ENSG00000229547
100131827	chr3	75758794	75834670	75877	-	ZNF717	ENSG00000227124
100131897	chr5	169290719	169407744	117026	-	INSYN2B	ENSG00000204767
100131902	chr21	31661463	31661832	370	-	KRTAP25-1	ENSG00000232263
100131980	chr8	7215498	7220490	4993	-	ZNF705G	ENSG00000215372
100131980	chr8	7215498	7220490	4993	-	ZNF705G	ENSG00000274195
100131980	chr8	7215498	7220490	4993	-	ZNF705G	ENSG00000285286
100131998	chr16	22430867	22449036	18170	-	RRN3P3	ENSG00000290865
100132078	chr11	111284967	111288911	3945	-	LOC100132078	ENSG00000255428
100132101	chr15	23390722	23393943	3222	+	HERC2P7	ENSG00000290912
100132103	chr8	7812535	7866277	53743	+	FAM66E	ENSG00000225725
100132103	chr8	7812535	7866277	53743	+	FAM66E	ENSG00000292278
100132146	chr3	46653925	46668033	14109	+	FAM240A	ENSG00000283473
100132215	chr2	63271100	63275656	4557	-	EHBP1-AS1	ENSG00000231609
100132247	chr16	22503062	22547841	44780	+	NPIPB5	ENSG00000243716
100132247	chr16	22503062	22547841	44780	+	NPIPB5	ENSG00000284218
100132273	chr22	42486937	42532702	45766	+	NDUFA6-DT	ENSG00000237037
100132285	chr19_gl000209_random	115099	145745	30647	+	KIR2DS2	ENSG00000275737
100132285	chr19_gl000209_random	115099	145745	30647	+	KIR2DS2	ENSG00000275452
100132285	chr19_gl000209_random	115099	145745	30647	+	KIR2DS2	ENSG00000278152
100132285	chr19_gl000209_random	115099	145745	30647	+	KIR2DS2	ENSG00000274518
100132285	chr19_gl000209_random	115099	145745	30647	+	KIR2DS2	ENSG00000276425
100132285	chr19_gl000209_random	115099	145745	30647	+	KIR2DS2	ENSG00000278300
100132285	chr19_gl000209_random	115099	145745	30647	+	KIR2DS2	ENSG00000275253
100132285	chr19_gl000209_random	115099	145745	30647	+	KIR2DS2	ENSG00000275583
100132285	chr19_gl000209_random	115099	145745	30647	+	KIR2DS2	ENSG00000274438
100132285	chr19_gl000209_random	115099	145745	30647	+	KIR2DS2	ENSG00000275735
100132285	chr19_gl000209_random	115099	145745	30647	+	KIR2DS2	ENSG00000276139
100132285	chr19_gl000209_random	115099	145745	30647	+	KIR2DS2	ENSG00000277885
100132285	chr19_gl000209_random	115099	145745	30647	+	KIR2DS2	ENSG00000276258
100132288	chr21	9907189	9968593	61405	-	TEKT4P2	ENSG00000291050
100132341	chr16	31711934	31718745	6812	+	CLUHP3	ENSG00000290927
100132354	chr6	43858765	43905944	47180	+	LINC01512	ENSG00000289313
100132386	chr17	39261641	39262740	1100	+	KRTAP4-9	ENSG00000262121
100132386	chr17	39261641	39262740	1100	+	KRTAP4-9	ENSG00000212722
100132386	chr17	39261641	39262740	1100	+	KRTAP4-9	ENSG00000292052
100132396	chr8	7783859	7809935	26077	+	ZNF705B	ENSG00000274195
100132396	chr8	7783859	7809935	26077	+	ZNF705B	ENSG00000215356
100132396	chr8	7783859	7809935	26077	+	ZNF705B	ENSG00000215372
100132396	chr8	7783859	7809935	26077	+	ZNF705B	ENSG00000285286
100132399	chrX	49296769	49351917	55149	+	GAGE12D	ENSG00000227488
100132406	chr1	145209111	146467744	1258634	+	NBPF10	ENSG00000271425
100132417	chr1	149369294	149378297	9004	+	FCGR1CP	ENSG00000265531
100132463	chr4	184242917	184243579	663	-	CLDN24	ENSG00000185758
